89	182	232
90	192	263
91	101	294
92	111	224
93	121	255
94	131	286
95	141	216
96	151	247
97	161	278
98	171	208
99	181	239
100	191	270
1	117	213
2	134	226
3	151	239
4	168	252
5	185	265
6	101	278
7	118	291
8	135	203
9	152	216
10	169	229
11	186	242
12	102	255
13	119	268
14	136	281
15	153	294
16	170	206
17	187	219
18	103	232
19	120	245
20	137	258
21	154	271
22	171	284
23	188	297
24	104	209
25	121	222
26	138	235
27	155	248
28	172	261
29	189	274
30	105	287
31	122	300
32	139	212
33	156	225
34	173	238
35	190	251
36	106	264
37	123	277
38	140	290
39	157	202
40	174	215
41	191	228
42	107	241
43	124	254
44	141	267
45	158	280
46	175	293
47	192	205
48	108	218
49	125	231
50	142	244
51	159	257
52	176	270
53	193	283
54	109	296
55	126	208
56	143	221
57	160	234
58	177	247
59	194	260
60	110	273
61	127	286
62	144	299
63	161	211
64	178	224
65	195	237
66	111	250
67	128	263
68	145	276
69	162	289
70	179	201
71	196	214
72	112	227
73	129	240
74	146	253
75	163	266
76	180	279
77	197	292
78	113	204
79	130	217
80	147	230
81	164	243
82	181	256
83	198	269
84	114	282
85	131	295
86	148	207
87	165	220
88	182	233
89	199	246
90	115	259
91	132	272
92	149	285
93	166	298
94	183	210
95	200	223
96	116	236
97	133	249
98	150	262
99	167	275
100	184	288
1	114	207
2	128	214
3	142	221
4	156	228
5	170	235
6	184	242
7	198	249
8	111	256
9	125	263
10	139	270
11	153	277
12	167	284
13	181	291
14	195	298
15	108	204
16	122	211
17	136	218
18	150	225
19	164	232
20	178	239
21	192	246
22	105	253
23	119	260
24	133	267
25	147	274
26	161	281
27	175	288
28	189	295
29	102	201
30	116	208
31	130	215
32	144	222
33	158	229
34	172	236
35	186	243
36	200	250
37	113	257
38	127	264
39	141	271
40	155	278
41	169	285
42	183	292
43	197	299
44	110	205
45	124	212
46	138	219
47	152	226
48	166	233
49	180	240
50	194	247
51	107	254
52	121	261
53	135	268
54	149	275
55	163	282
56	177	289
57	191	296
58	104	202
59	118	209
60	132	216
61	146	223
62	160	230
63	174	237
64	188	244
65	101	251
66	115	258
67	129	265
68	143	272
69	157	279
70	171	286
71	185	293
72	199	300
73	112	206
74	126	213
75	140	220
76	154	227
77	168	234
78	182	241
79	196	248
80	109	255
81	123	262
82	137	269
83	151	276
84	165	283
85	179	290
86	193	297
87	106	203
88	120	210
89	134	217
90	148	224
91	162	231
92	176	238
93	190	245
94	103	252
95	117	259
96	131	266
97	145	273
98	159	280
99	173	287
100	187	294
1	128	206
2	156	212
3	184	218
4	111	224
5	139	230
6	167	236
7	195	242
8	122	248
9	150	254
10	178	260
11	105	266
12	133	272
13	161	278
14	189	284
15	116	290
16	144	296
17	172	201
18	200	207
19	127	213
20	155	219
21	183	225
22	110	231
23	138	237
24	166	243
25	194	249
26	121	255
27	149	261
28	177	267
29	104	273
30	132	279
31	160	285
32	188	291
33	115	297
34	143	202
35	171	208
36	199	214
37	126	220
38	154	226
39	182	232
40	109	238
41	137	244
42	165	250
